"Country Region","Package Id",Type,"Net Price","Minimum selling price",Data,SMS,Voice,Networks
"United States",change-in-3days-unlimited,sim,5.7,11.5,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-3days-unlimited-topup,topup,5.7,11.5,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-5days-unlimited,sim,8.6,19,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-5days-unlimited-topup,topup,8.6,19,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-7days-unlimited,sim,11.6,27,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-7days-unlimited-topup,topup,11.6,27,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-10days-unlimited,sim,16.1,35,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-10days-unlimited-topup,topup,16.1,35,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-15days-unlimited,sim,23.6,49,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-15days-unlimited-topup,topup,23.6,49,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-unlimited,sim,46,69,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-unlimited-topup,topup,46,69,Unlimited,0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-plus-365days-10gb-20260217124730,sim,40.5,49,"10 GB",30,75,"T-Mobile [5G]"
"United States",change-plus-365days-10gb-topup-20260217124730,topup,40.5,49,"10 GB",30,75,"T-Mobile [5G]"
"United States",change-in-7days-1gb,sim,1.9,4,"1 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-7days-1gb-topup,topup,1.9,4,"1 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-15days-2gb,sim,2.8,7,"2 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-15days-2gb-topup,topup,2.8,7,"2 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-5gb,sim,5.1,14,"5 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-5gb-topup,topup,5.1,14,"5 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-10gb,sim,7.7,23,"10 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-10gb-topup,topup,7.7,23,"10 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-20gb,sim,13.2,37,"20 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-20gb-topup,topup,13.2,37,"20 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-3gb,sim,3.5,9,"3 GB",0,0,"T-Mobile [5G], Verizon [5G]"
"United States",change-in-30days-3gb-topup,topup,3.5,9,"3 GB",0,0,"T-Mobile [5G], Verizon [5G]"
